technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Goal oriented,Insensitive,Reinforcement available,Manipulate others,61,Birgunj
Opportunists,Control freak,Broken homes/families,Emotions,34,Mahendranagar
Resourceful,Gullible,Rationalization,Experimentation,54,Hetauda
Focussed,Passionate,Social dissatisfaction,Emotions,41,Ghorahi
Well-organized,Psychiatric conditions,Radical,"Greed (easy, quick money)",46,Bharatpur
Creative,Coercive,Broken homes/families,Political beliefs,56,Dhangadi
Strategic planners,Loner,Intolerance to diversity of opinion,"Religious
fundamentalism",17,Janakpur
Well trained,Psychiatric conditions,Mass-destruction,"Religious
fundamentalism",36,Dharan
Strategic planners,Coward,Anti-establishment,"Concealed
existence",24,Itahari
Well-trained,Coward,Anti-establishment,Disregard for law,45,Mahendranagar
Well-networked,Selfish,"Insufficient social
support",Disregard for law,52,Tulsipur
Strategic planners,Secretive,Mass-destruction,"Concealed
existence",58,Jitpur
Skilful,Determined,Anti-social,"Concealed
existence",31,Janakpur
Well-networked,Risk-taker,Rationalization,Experimentation,55,Dhangadi
Well-networked,Conviction in Violence,Broken homes/families,Thrill-seeking,62,Kalaiya
Well-trained,Coercive,Intolerance to diversity of opinion,"Enhancing self-
worth",60,Ghorahi
Smart,Coercive,Intolerance to diversity of opinion,Political support,40,Hetauda
Goal oriented,Incited,Social dissatisfaction,Curiosity,52,Jitpur
Resourceful,Chaotic state of mind,Anti-establishment,Risk tolerance,46,Bhaktapur
Strategic planners,Aggressive,Marginalised,"Religious
fundamentalism",57,Hetauda
Bully,Immoral/ Unethical,Social dissatisfaction,No fear of punishment,22,Dharan
Bully,Impatient,Misguided,Manipulate others,43,Dharan
Bully,"Psychologically
Deviant",Rebellious,Thrill-seeking,55,Bhaktapur
Resourceful,Gullible,Social dissatisfaction,Emotions,59,Hetauda
Focussed,Gullible,Anti-establishment,Anger,31,Birgunj
Well-organized,Loner,Anti-social,"Concealed
existence",38,Dhangadi
Bully,Control freak,Radical,Plain boredom,32,Tulsipur
Bully,Inhuman Psyche,Inferiority complex,Curiosity,61,Pokhara
Well-organized,Impatient,Lack Social skills,Experimentation,46,Butwal
Creative,Determined,Anti-social,Manipulate others,53,Tulsipur
Well-trained,Coward,Brain-washed,Political beliefs,39,Tulsipur
Focussed,Insensitive,Rebellious,Curiosity,65,Dhangadi
Creative,Insensitive,Broken homes/families,Plain boredom,37,Dharan
Bully,Insensitive,Radical,Curiosity,16,Kalaiya
Focussed,Selfish,Broken homes/families,Curiosity,56,Kalaiya
Opportunists,Chaotic state of mind,Marginalised,"Enhancing self-
worth",17,Birgunj
Resourceful,Secretive,Anti-state,Need to Control others,51,Dharan
Well-networked,Aggressive,Marginalised,Thrill-seeking,16,Biratnagar
Goal oriented,Passionate,Low self-worth,Need to Control others,65,Mahendranagar
Creative,Identity crisis,"Insufficient social
support",Lust,54,Jitpur
Well-organized,Insensitive,Reinforcement available,Revenge,22,Birgunj
Goal oriented,Control freak,Inferiority complex,Experimentation,45,Jitpur
Well-trained,Risk-taker,Brain-washed,"Greed (easy, quick money)",27,Kathmandu
Well-trained,Determined,Marginalised,Thrill-seeking,55,Itahari
Smart,Psychiatric conditions,Marginalised,Lust,48,Hetauda
Well-organized,Insensitive,"Insufficient social
support",Revenge,45,Itahari
Sharp (intelligent),Determined,Need to outsmart others,Monetary Gain,35,Lalitpur
Creative,Identity crisis,Anti-establishment,Experimentation,45,Kalaiya
Opportunists,Control freak,Radical,Experimentation,32,Biratnagar
Opportunists,Psychiatric conditions,Marginalised,Lust,42,Itahari
Strategic planners,Inhuman Psyche,Misguided,Anger,27,Dhangadi
Bully,Psychiatric conditions,Misguided,Anger,42,Kalaiya
Resourceful,Immoral/ Unethical,Reinforcement available,Intolerance,25,Butwal
Bully,Insensitive,Anti-state,Risk tolerance,27,Biratnagar
Well-trained,Selfish,Rationalization,Thrill-seeking,18,Jitpur
Creative,Chaotic state of mind,Misguided,"Enhancing self-
worth",42,Kalaiya
Well trained,Insensitive,Lack Social skills,Emotions,19,Pokhara
Well trained,Risk-taker,Anti-social,Curiosity,31,Mahendranagar
Bully,Incited,Anti-state,Curiosity,60,Dharan
Focussed,Insensitive,Social dissatisfaction,Experimentation,62,Ghorahi
Strategic planners,Coward,Misguided,"Religious
fundamentalism",42,Mahendranagar
Opportunists,Insensitive,Marginalised,Curiosity,54,Dhangadi
Opportunists,Insensitive,Marginalised,"Concealed
existence",62,Dharan
Well trained,Aggressive,Lack Social skills,"Religious
fundamentalism",47,Jitpur
Creative,Identity crisis,Low self-worth,Risk tolerance,47,Birgunj
Well trained,Secretive,Intolerance to diversity of opinion,Disregard for law,56,Bhaktapur
Well-trained,Selfish,Reinforcement available,Risk tolerance,21,Pokhara
Resourceful,Coward,Radical,Manipulate others,31,Tulsipur
Bully,Aggressive,Lack Social skills,Emotions,62,Mahendranagar
Smart,Incited,Broken homes/families,Risk tolerance,60,Butwal
Well-organized,Coward,Mass-destruction,"Concealed
existence",65,Birgunj
Well-trained,Secretive,Radical,"Concealed
existence",61,Dharan
Well-networked,Determined,"Insufficient social
support",Revenge,48,Kalaiya
Well trained,Strong-willed,Unlawful,Thrill-seeking,57,Janakpur
Well-trained,Chaotic state of mind,Anti-establishment,Experimentation,43,Kalaiya
Well-trained,Insensitive,"Insufficient social
support",Disregard for law,54,Nepalgunj
Creative,Passionate,Need to outsmart others,Curiosity,32,Nepalgunj
Opportunists,Selfish,Brain-washed,Experimentation,34,Biratnagar
Skilful,Incited,Low self-worth,Emotions,43,Itahari
Well-trained,Control freak,Unlawful,Revenge,49,Kathmandu
Well-trained,Loner,"Insufficient social
support","Religious
fundamentalism",44,Kathmandu
Well trained,Aggressive,Radical,Need to Control others,63,Dhangadi
Bully,Immoral/ Unethical,Rationalization,Experimentation,56,Dhangadi
Bully,Identity crisis,Anti-establishment,Experimentation,58,Nepalgunj
Skilful,Psychiatric conditions,Need to outsmart others,Thrill-seeking,36,Lalitpur
Strategic planners,Strong-willed,Rebellious,Need to Control others,19,Pokhara
Well-organized,Vengeful,Radical,Monetary Gain,60,Kathmandu
Well trained,Coward,Anti-state,"Greed (easy, quick money)",62,Nepalgunj
Focussed,Immoral/ Unethical,Social dissatisfaction,No fear of punishment,65,Bhaktapur
Skilful,Identity crisis,Social dissatisfaction,Risk tolerance,23,Nepalgunj
Skilful,Conviction in Violence,Misguided,"Religious
fundamentalism",41,Pokhara
Focussed,Conviction in Violence,Reinforcement available,Plain boredom,23,Kathmandu
Well trained,Control freak,Misguided,"Religious
fundamentalism",44,Nepalgunj
Focussed,Selfish,Need to outsmart others,Plain boredom,31,Kathmandu
Opportunists,Vengeful,Need to outsmart others,Monetary Gain,60,Kalaiya
Well-organized,Secretive,Anti-social,Plain boredom,58,Lalitpur
Well-organized,Risk-taker,Lack Social skills,Monetary Gain,65,Janakpur
Well trained,Inhuman Psyche,Anti-state,Disregard for law,59,Ghorahi
Skilful,Aggressive,Misguided,Plain boredom,26,Itahari
Strategic planners,Inhuman Psyche,Social dissatisfaction,Risk tolerance,20,Dhangadi
Strategic planners,Determined,Rebellious,Need to Control others,55,Dhangadi
Skilful,Loner,Broken homes/families,"Concealed
existence",40,Lalitpur
Well trained,Conviction in Violence,Brain-washed,"Greed (easy, quick money)",47,Birgunj
Well-organized,Secretive,Reinforcement available,Political support,41,Jitpur
Smart,Insensitive,Misguided,Political beliefs,30,Kalaiya
Opportunists,Conviction in Violence,Marginalised,Political support,56,Pokhara
Well-networked,Vengeful,Anti-establishment,Political support,28,Dharan
Resourceful,Chaotic state of mind,Inferiority complex,Lust,37,Janakpur
Strategic planners,Conviction in Violence,Anti-state,Lust,44,Kalaiya
Well-trained,Loner,Reinforcement available,Anger,34,Tulsipur
Strategic planners,Chaotic state of mind,Need to outsmart others,Plain boredom,58,Bharatpur
Well-networked,Risk-taker,"Insufficient social
support",Risk tolerance,65,Biratnagar
Sharp (intelligent),Emotional,Inferiority complex,"Greed (easy, quick money)",47,Dharan
Smart,"Psychologically
Deviant",Social dissatisfaction,Intolerance,28,Kathmandu
Smart,Gullible,Lack Social skills,Manipulate others,47,Bharatpur
Well-trained,Control freak,Mass-destruction,Experimentation,34,Hetauda
Creative,Incited,Anti-social,Monetary Gain,31,Bhaktapur
Goal oriented,Psychiatric conditions,Mass-destruction,Emotions,64,Dharan
Bully,Determined,Mass-destruction,"Enhancing self-
worth",40,Bhaktapur
Smart,Inhuman Psyche,Need to outsmart others,Plain boredom,18,Tulsipur
Well-trained,Psychiatric conditions,Brain-washed,Disregard for law,24,Itahari
Sharp (intelligent),Secretive,Lack Social skills,Anger,20,Birgunj
Focussed,"Psychologically
Deviant",Anti-social,Lust,44,Biratnagar
Strategic planners,Insensitive,Low self-worth,Curiosity,42,Dharan
Well-trained,"Psychologically
Deviant",Need to outsmart others,Political beliefs,47,Bhaktapur
Creative,Selfish,Brain-washed,Revenge,64,Hetauda
Creative,Immoral/ Unethical,Broken homes/families,Revenge,63,Kalaiya
Well-organized,Insensitive,Anti-state,Need to Control others,26,Hetauda
Well-organized,Immoral/ Unethical,Need to outsmart others,Anger,46,Hetauda
Smart,Strong-willed,Social dissatisfaction,Manipulate others,59,Bharatpur
Skilful,Selfish,Anti-social,Experimentation,31,Butwal
Well-organized,Passionate,Brain-washed,"Concealed
existence",43,Kalaiya
Sharp (intelligent),Strong-willed,Inferiority complex,"Enhancing self-
worth",28,Dhangadi
Goal oriented,Secretive,Lack Social skills,Political support,60,Pokhara
Skilful,Control freak,Misguided,Anger,38,Tulsipur
Opportunists,Aggressive,Low self-worth,"Concealed
existence",27,Biratnagar
Well-trained,Emotional,Rationalization,Political support,23,Kalaiya
Goal oriented,Gullible,Anti-social,"Enhancing self-
worth",41,Ghorahi
Opportunists,Psychiatric conditions,"Insufficient social
support",Experimentation,41,Biratnagar
Creative,Impatient,"Insufficient social
support","Religious
fundamentalism",31,Birgunj
Well-organized,Incited,Marginalised,Political support,16,Hetauda
Strategic planners,Aggressive,Socially inept,"Concealed
existence",23,Nepalgunj
Sharp (intelligent),Psychiatric conditions,Rationalization,Risk tolerance,17,Nepalgunj
Focussed,Impatient,"Insufficient social
support",Disregard for law,60,Biratnagar
Sharp (intelligent),Insensitive,Intolerance to diversity of opinion,Emotions,63,Butwal
Smart,Incited,Marginalised,No fear of punishment,28,Biratnagar
Well-organized,Coercive,Reinforcement available,Anger,45,Pokhara
Sharp (intelligent),Conviction in Violence,Mass-destruction,Lust,39,Biratnagar
Opportunists,Conviction in Violence,Socially inept,Monetary Gain,31,Bhaktapur
Opportunists,Incited,Social dissatisfaction,Thrill-seeking,24,Kathmandu
Well-trained,Gullible,"Insufficient social
support",Intolerance,18,Biratnagar
Opportunists,Coward,Low self-worth,Plain boredom,31,Kalaiya
Well-organized,Control freak,Broken homes/families,Disregard for law,25,Kalaiya
Focussed,Selfish,Anti-social,"Religious
fundamentalism",58,Biratnagar
Resourceful,Coercive,Unlawful,Revenge,25,Jitpur
Well-organized,Risk-taker,Low self-worth,Monetary Gain,35,Itahari
Well-organized,Psychiatric conditions,"Insufficient social
support",Manipulate others,22,Pokhara
Goal oriented,Passionate,Anti-state,Anger,16,Bharatpur
Well-organized,Selfish,"Insufficient social
support","Enhancing self-
worth",25,Itahari
Strategic planners,Insensitive,Mass-destruction,Political beliefs,30,Dharan
Well-trained,Aggressive,Reinforcement available,Need to Control others,41,Janakpur
Well trained,"Psychologically
Deviant",Brain-washed,Emotions,36,Biratnagar
Well-trained,Risk-taker,Radical,Experimentation,34,Itahari
Focussed,Identity crisis,Social dissatisfaction,Plain boredom,28,Nepalgunj
Sharp (intelligent),Psychiatric conditions,Reinforcement available,Plain boredom,51,Ghorahi
Skilful,Passionate,Anti-state,Experimentation,37,Dharan
Sharp (intelligent),Risk-taker,Rebellious,Experimentation,43,Pokhara
Well-organized,Selfish,Anti-establishment,Need to Control others,41,Bharatpur
Smart,Impatient,Brain-washed,Emotions,30,Pokhara
Resourceful,Secretive,Rebellious,Emotions,61,Jitpur
Well trained,Incited,Anti-establishment,Risk tolerance,53,Dhangadi
Well-trained,Psychiatric conditions,Lack Social skills,No fear of punishment,19,Mahendranagar
Skilful,Incited,Anti-social,"Enhancing self-
worth",19,Dhangadi
Focussed,Aggressive,Mass-destruction,Need to Control others,61,Ghorahi
Skilful,Gullible,Rebellious,Lust,19,Birgunj
Skilful,Immoral/ Unethical,Radical,Political beliefs,39,Bhaktapur
Creative,Emotional,Mass-destruction,Emotions,32,Bhaktapur
Strategic planners,Selfish,Radical,Need to Control others,51,Jitpur
Resourceful,Gullible,Brain-washed,Manipulate others,48,Hetauda
Opportunists,Coercive,"Insufficient social
support",Monetary Gain,49,Biratnagar
Opportunists,Psychiatric conditions,Misguided,"Religious
fundamentalism",43,Dhangadi
Strategic planners,Identity crisis,Unlawful,Emotions,56,Dharan
Creative,Incited,Misguided,Intolerance,40,Nepalgunj
Well-organized,Conviction in Violence,Intolerance to diversity of opinion,"Enhancing self-
worth",24,Birgunj
Goal oriented,Insensitive,Intolerance to diversity of opinion,Lust,64,Kathmandu
Skilful,Secretive,Rationalization,Risk tolerance,22,Mahendranagar
Well-networked,Secretive,Misguided,Monetary Gain,64,Butwal
Smart,Incited,Anti-social,Revenge,43,Birgunj
Well-networked,Control freak,Intolerance to diversity of opinion,Intolerance,32,Mahendranagar
Well-organized,Inhuman Psyche,Marginalised,No fear of punishment,19,Butwal
Opportunists,Immoral/ Unethical,Broken homes/families,Disregard for law,37,Itahari
Smart,Aggressive,Anti-social,Experimentation,23,Butwal
Strategic planners,Control freak,Unlawful,Political beliefs,65,Tulsipur
Well trained,Emotional,Brain-washed,"Concealed
existence",22,Itahari
Focussed,Vengeful,Rationalization,Risk tolerance,43,Pokhara
Bully,Risk-taker,Need to outsmart others,Revenge,54,Bhaktapur
Well trained,Chaotic state of mind,Marginalised,Anger,35,Biratnagar
Bully,Psychiatric conditions,Brain-washed,Disregard for law,48,Lalitpur
Sharp (intelligent),Insensitive,Socially inept,Lust,32,Kalaiya
Well-networked,Psychiatric conditions,Intolerance to diversity of opinion,"Enhancing self-
worth",65,Tulsipur
Well-organized,Secretive,Socially inept,Experimentation,54,Nepalgunj
Goal oriented,Inhuman Psyche,Rationalization,Political beliefs,39,Birgunj
Focussed,Determined,Unlawful,Plain boredom,50,Pokhara
Creative,Control freak,Reinforcement available,"Concealed
existence",65,Dhangadi
Resourceful,Conviction in Violence,Mass-destruction,"Concealed
existence",34,Birgunj
Well-trained,Insensitive,Need to outsmart others,No fear of punishment,36,Kathmandu
Resourceful,Coercive,Anti-state,"Greed (easy, quick money)",17,Itahari
Opportunists,Loner,Need to outsmart others,Risk tolerance,25,Biratnagar
Sharp (intelligent),Determined,Misguided,Manipulate others,36,Bharatpur
Smart,Control freak,Anti-state,Emotions,52,Nepalgunj
Goal oriented,Determined,Need to outsmart others,Monetary Gain,63,Mahendranagar
Resourceful,"Psychologically
Deviant",Social dissatisfaction,Disregard for law,62,Mahendranagar
Strategic planners,Gullible,Anti-state,"Religious
fundamentalism",18,Nepalgunj
Smart,Impatient,Reinforcement available,Monetary Gain,32,Hetauda
Well-networked,Determined,Broken homes/families,"Greed (easy, quick money)",17,Janakpur
Opportunists,Insensitive,Low self-worth,"Greed (easy, quick money)",39,Tulsipur
Well-trained,Emotional,Marginalised,Revenge,22,Biratnagar
Resourceful,Chaotic state of mind,Inferiority complex,"Greed (easy, quick money)",59,Pokhara
Resourceful,Identity crisis,Radical,Plain boredom,26,Dhangadi
Strategic planners,"Psychologically
Deviant",Mass-destruction,Disregard for law,27,Ghorahi
Creative,Risk-taker,Lack Social skills,Need to Control others,59,Dharan
Smart,Selfish,Misguided,No fear of punishment,39,Butwal
Well-trained,Impatient,Reinforcement available,Revenge,33,Bhaktapur
Skilful,Identity crisis,Need to outsmart others,Plain boredom,51,Butwal
Skilful,Insensitive,Unlawful,Monetary Gain,23,Hetauda
Skilful,Coercive,Misguided,"Enhancing self-
worth",59,Janakpur
Bully,Psychiatric conditions,Social dissatisfaction,Political beliefs,47,Bharatpur
Well trained,Incited,Need to outsmart others,Emotions,48,Bhaktapur
Bully,Immoral/ Unethical,Unlawful,Risk tolerance,24,Mahendranagar
Smart,Conviction in Violence,"Insufficient social
support",Disregard for law,49,Butwal
Well-organized,Immoral/ Unethical,Inferiority complex,Thrill-seeking,54,Biratnagar
